movie,sentence,score
올빼미,생각지도 못한 스토리 전개. 몰입감을 더 높여주는 연기력. 관람 후 영화제목 참 잘지엇다라는 말이 나옴,10
올빼미,나 영화 좋단말 잘 안하는데   이거  다바라. 재밌다.,10
올빼미,류준열 배우 연기 진짜 몰입되네요 심장쫄깃쫄깃,10
올빼미,연출짱 연기짱 시간가는줄 모르는 시나리오,10
올빼미,이런 서사스릴러가 조선사에도 입혀질 수 있도록 다듬은 스토리라인과 연출력이 보고도 믿기지않는다,10
올빼미,낫배드 웃음기없는 류준열 유해진의 연기,9
동감,진짜 최악의 영화 노잼 돈 아까운걸 떠나서 시간이 아까웠음,1
유포자들,재밌음 킬링으로 볼만할듯,10
올빼미,관상 이후에 최고의 사극 영화였습니다.,10
블랙 팬서: 와칸다 포에버,마블도 이젠 끝이네 핵노잼,1
올빼미,튀세요  보지마세요 설정이 어처구니없음,2
올빼미,입봉이라고 믿겨지지않을정도로 잘만들어진 영화입니다.,9
스트레인지 월드,전 재미게 보고 있었는데 4살 아이는 무섭다고 나가자고해서 나옴,8
올빼미,와..진짜제대로   . 영화재밋게봣습니다.,10
올빼미,결말 예상 가는데 그래도 재밌어요. 연기도 좋고 감독님 연출도 좋았어요!,10
올빼미,처음으로 감상평 써봐요.. 너무 재밌어서 엄청 몰입해서 봤어요! 다들 꼭 보셨으면 ㅜㅜ,10
올빼미,샤롯데에서 봤는데 돈 안아까울 정도로 너무 재밌다.. ,10
올빼미,배우들 연기 미침....시간 가는 줄 모르고 봄 다들 보세요 이거ㅠㅠ,10
올빼미,류준열의 연기에 놀라고갑니다.대본이 탄탄하고 배우들 연기가 촘촘합니다.정말 잘봤습니다.,10
올빼미,소현세자를 영화를 통해 알수있게 되어 좋았어요정말 올한해 제가 본 영화중에 단연 0순위 영화였습니다.입소문 타고 흥행가도 쭉쭉 이어갔으면 하네요^^,10
올빼미,진짜 안보면 후회할듯...연기력 짱~스토리도 짱~~~^^  꼭 보세요~,10
데시벨,킬링타임용으로 가볍게 보기엔 나쁘지않았어요,8
올빼미,눈으로 보이는것도 무서웠지만 소경에맘으로 보니 그 소리가 너무 무서웠어요 왠만한 찌르고 과격하고 잔인한 그런영화들보다 훠얼씬 무서웠어요 사람의탈을쓰고 아무렇지않게 휴. 스포는 안하겠어요 근데 기대이상은 맞아요 ,10
블랙 팬서: 와칸다 포에버,이걸 2시간 40분동안 기대하고 본 내가 참...마블은 이제 끝났다,1
올빼미,유해진 배우님 권력에 정신 나간 왕연기 따봉  ,8
올빼미,재밌어요 기대 안핶는데…,10
올빼미,아... 소현세자의 죽음을 이렇게 각색하다니... 너무 재밌게 봤어요! 픽션이긴 하나 충분히 개연성이 있음...,10
올빼미,류준열 흥해라 .유해진 왕 역활 좋았어요,10
올빼미,왕이 된 유해진 배우의 첫 작품 궁금해서 갔다가  류준열 배우의 연기를 보고 감동 그 자체.탄탄한 스토리  실감나는 연기  긴장감 모두 다~ 잡는 영화!!!적극 추천!!!,10
올빼미,압도적 몰입감! 배우분들도 만날수있어서 좋았어요!,10
블랙 팬서: 와칸다 포에버,돈 주고 보기는 정말 실망인 작품. 전작 대비 폭망이라고 봄 ㅡ .ㅡ,4
올빼미,무엇이 되었든 볼 수 있음에 감사함을 느낀다.,8
올빼미,오랜만에 영화 집중하면서 재미있게 봤습니다~훌륭한 영화 만들어 주신 감독님 배우님들 고생 많으셨습니다^^,10
올빼미,대박이네요~넘재밌게잘봤습니다^^,10
올빼미,긴장감 있으면서도 두배우에 연기에 감탄했어요,10
올빼미,너무 진짜 개재맜음 ㅠㅠㅠㅠ 올해 본 영화 중 제일 재밌어서 감동 했어요?????????? 진짜 후회 안함 ㅠㅠㅠ 스포 하고 싶지만 아깝고 줄거리 아예 모르는 상태로 가세오ㅠㅠㅠㅠ,10
올빼미,너무 진짜 개재맜음 ㅠㅠㅠㅠ 올해 본 영화 중 제일 재밌어서 감동 했어요?????????? 진짜 후회 안함 ㅠㅠㅠ 스포 하고 싶지만 아깝고 줄거리 아예 모르는 상태로 가세오ㅠㅠㅠㅠ,10
올빼미,너무 진짜 개재맜음 ㅠㅠㅠㅠ 올해 본 영화 중 제일 재밌어서 감동 했어요?????????? 진짜 후회 안함 ㅠㅠㅠ 스포 하고 싶지만 아깝고 줄거리 아예 모르는 상태로 가세오ㅠㅠㅠㅠ,10
올빼미,너무 진짜 개재맜음 ㅠㅠㅠㅠ 올해 본 영화 중 제일 재밌어서 감동 했어요?????????? 진짜 후회 안함 ㅠㅠㅠ 스포 하고 싶지만 아깝고 줄거리 아예 모르는 상태로 가세오ㅠㅠㅠㅠ,10
올빼미,너무 진짜 개재맜음 ㅠㅠㅠㅠ 올해 본 영화 중 제일 재밌어서 감동 했어요?????????? 진짜 후회 안함 ㅠㅠㅠ 스포 하고 싶지만 아깝고 줄거리 아예 모르는 상태로 가세오ㅠㅠㅠㅠ,10
올빼미,너무 진짜 개재맜음 ㅠㅠㅠㅠ 올해 본 영화 중 제일 재밌어서 감동 했어요?????????? 진짜 후회 안함 ㅠㅠㅠ 스포 하고 싶지만 아깝고 줄거리 아예 모르는 상태로 가세오ㅠㅠㅠㅠ,10
올빼미,너무 진짜 개재맜음 ㅠㅠㅠㅠ 올해 본 영화 중 제일 재밌어서 감동 했어요?????????? 진짜 후회 안함 ㅠㅠㅠ 스포 하고 싶지만 아깝고 줄거리 아예 모르는 상태로 가세오ㅠㅠㅠㅠ,10
